Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bhután,BTN,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.00,810.00,770.00,770.00,780.00,870.00,880.00,880.00,880.00,910.00,880.00,850.00,860.00,880.00,920.00,1030.00,1020.00,1030.00,920.00,990.00,1070.00,1260.00,1310.00,1340.00,1340.00,1390.00,1560.00,1610.00,1680.00,1680.00,,
Botswana,BWA,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13040.00,12450.00,12690.00,12350.00,12580.00,13480.00,14620.00,14210.00,13850.00,13890.00,13700.00,15580.00,15920.00,8790.00,9380.00,10790.00,12610.00,10860.00,19590.00,10510.00,20950.00,25810.00,13100.00,14050.00,12770.00,12190.00,11100.00,14890.00,12680.00,11000.00,,
República Centroafricana,CAF,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16870.00,17180.00,17230.00,17270.00,19770.00,19900.00,21910.00,22090.00,24130.00,21800.00,24760.00,20940.00,18690.00,23800.00,21190.00,22230.00,22370.00,22740.00,23880.00,19340.00,21500.00,22800.00,19920.00,21100.00,20650.00,21010.00,22860.00,21350.00,21910.00,19730.00,,
Canadá,CAN,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540380.00,536289.98,550630.00,546630.00,564719.97,579710.02,597669.98,611929.99,620150.02,625310.00,644890.01,636840.03,657760.01,679150.02,676030.03,690539.98,679219.97,712789.98,688190.00,653140.01,669979.98,686500.00,686650.02,698679.99,706320.01,704479.98,704750.00,721010.01,737989.99,736929.99,,
Europa Central y del Báltico,CEB,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236190.00,1138730.00,1060740.00,1028909.98,999660.00,1002150.02,1026529.99,997999.99,941650.00,894260.01,885220.01,895640.01,877040.01,909109.98,910360.01,909890.00,928109.99,937249.99,917980.01,850510.00,876360.00,875500.02,847470.01,819540.00,798350.01,810819.98,821890.01,844859.99,836729.98,803120.01,,
Suiza,CHE,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52780.00,55000.00,54930.00,52570.00,51700.00,52630.00,53250.00,51790.00,53350.00,53480.00,52730.00,54340.00,52710.00,53950.00,54450.00,55170.00,54890.00,52960.00,54590.00,53140.00,54720.00,50600.00,51910.00,52930.00,49120.00,48350.00,48850.00,47880.00,46610.00,46500.00,,
Islas del Canal,CHI,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45260.00,44220.00,45720.00,48270.00,52270.00,56170.00,62720.00,69820.00,70920.00,73780.00,69920.00,67800.00,68410.00,69160.00,74540.00,75130.00,76420.00,84150.00,88880.00,86490.00,91660.00,98100.00,100540.00,103820.00,96450.00,102130.00,106590.00,107510.00,107690.00,113020.00,,
China,CHN,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240290.00,3387709.96,3516610.11,3746360.11,3905929.93,4309240.23,4330229.98,4325689.94,4443770.02,4376500.00,4568810.06,4761560.06,5068779.79,5718040.04,6503950.20,7266529.79,7946140.14,8555799.80,8810969.73,9386580.08,10218509.77,11098190.43,11385459.96,11878030.27,11938030.27,11818469.73,11800830.08,12035269.53,12471089.84,12705089.84,,
Côte d'Ivoire,CIV,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9300.00,12020.00,14640.00,17330.00,20160.00,20860.00,21650.00,23160.00,23530.00,25720.00,25870.00,25630.00,26040.00,23330.00,21710.00,22980.00,21910.00,21280.00,20960.00,19530.00,19210.00,18880.00,20490.00,21980.00,21880.00,22650.00,23970.00,24350.00,24090.00,24860.00,,
Camerún,CMR,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19520.00,27650.00,27440.00,25140.00,78460.00,78480.00,79220.00,79860.00,81370.00,81390.00,83520.00,82540.00,82310.00,83820.00,82140.00,83540.00,82390.00,83130.00,83040.00,83320.00,83650.00,83350.00,83790.00,85420.00,86550.00,87950.00,89080.00,88960.00,89920.00,90120.00,,
Congo República Democrática del,COD,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38110.00,36730.00,36880.00,38380.00,39860.00,39920.00,35500.00,35490.00,36510.00,34620.00,34010.00,36110.00,41520.00,45000.00,46860.00,46990.00,47970.00,45580.00,47620.00,47670.00,49220.00,48640.00,47370.00,50860.00,52790.00,52540.00,52450.00,55500.00,53900.00,55000.00,,
Congo República del,COG,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9660.00,9650.00,9830.00,9280.00,8240.00,9160.00,9190.00,9790.00,11250.00,11680.00,12050.00,11770.00,9550.00,10940.00,11680.00,13760.00,15180.00,13090.00,13530.00,14510.00,16240.00,16080.00,15460.00,15150.00,14560.00,15250.00,14970.00,15420.00,18020.00,19200.00,,
Colombia,COL,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123410.00,124820.00,127940.00,132800.00,135310.00,139330.00,139520.00,145170.00,147130.00,135840.00,139620.00,141920.00,140050.00,141600.01,142880.00,145270.00,146380.00,151340.00,152470.00,156179.99,161140.00,165080.00,163950.00,170899.99,174360.00,175230.00,178210.01,173310.00,181520.00,187340.00,,
Comoras,COM,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.00,260.00,270.00,270.00,280.00,280.00,290.00,300.00,310.00,320.00,300.00,320.00,330.00,350.00,360.00,360.00,400.00,320.00,350.00,380.00,420.00,420.00,440.00,470.00,460.00,480.00,520.00,590.00,620.00,640.00,,
Cabo Verde,CPV,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.00,240.00,270.00,280.00,260.00,300.00,280.00,290.00,320.00,350.00,370.00,410.00,440.00,470.00,510.00,610.00,680.00,630.00,650.00,700.00,740.00,730.00,690.00,670.00,670.00,680.00,720.00,750.00,770.00,810.00,,
Costa Rica,CRI,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8520.00,8810.00,9950.00,10040.00,10450.00,10040.00,10030.00,10060.00,10760.00,10580.00,10440.00,10750.00,10780.00,11130.00,11160.00,11700.00,12030.00,13400.00,13580.00,13140.00,13250.00,13960.00,13910.00,14410.00,14460.00,14320.00,15230.00,15480.00,15760.00,15750.00,,
Estados pequeos del Caribe,CSS,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49970.00,50830.00,52990.00,48510.00,45760.00,45290.00,45480.00,45260.00,45760.00,45510.00,44140.00,46400.00,48020.00,52780.00,53740.00,55600.00,60420.00,61590.00,59730.00,68940.00,60280.00,62820.00,64570.00,63690.00,63700.00,62870.00,60030.00,59630.00,61650.00,62360.00,,
